StockCode,Description,Product Health,Month index,Adjusted Product Index,Date of Last Purchase,Last Purchase Quantity, Price 
22457,NATURAL SLATE HEART CHALKBOARD,24.757,24144,24.757,December 2011,928, $2.88 
22754,SMALL RED BABUSHKA NOTEBOOK,24.546,24144,24.546,December 2011,616, $0.26 
21563,RED HEART SHAPE LOVE BUCKET,24.530,24144,24.530,December 2011,613, $0.79 
21564,PINK  HEART SHAPE LOVE BUCKET,24.393,24144,24.393,December 2011,597, $0.79 
22438,BALLOON ART MAKE YOUR OWN FLOWERS,24.343,24144,24.343,December 2011,598, $0.40 
22379,RECYCLING BAG RETROSPOT,24.174,24144,24.174,December 2011,151, $2.57 
22336,DOVE DECORATION PAINTED ZINC,29.618,24142,23.990,October 2011,732, $0.21 
22644,CERAMIC CHERRY CAKE MONEY BANK,23.929,24144,23.929,December 2011,583, $0.44 
23284,DOORMAT KEEP CALM AND COME IN,23.921,24144,23.921,December 2011,188, $8.38 
85099F,JUMBO BAG STRAWBERRY,23.578,24144,23.578,December 2011,304, $1.90 
85099f,JUMBO BAG STRAWBERRY,23.578,24144,23.578,December 2011,304, $1.90 
23581,JUMBO BAG PAISLEY PARK,23.456,24144,23.456,December 2011,689, $2.02 
22087,PAPER BUNTING WHITE LACE,23.360,24144,23.360,December 2011,46, $2.95 
21506,"FANCY FONT BIRTHDAY CARD, ",23.287,24144,23.287,December 2011,367, $0.39 
20713,JUMBO BAG OWLS,23.227,24144,23.227,December 2011,512, $2.06 
15036,ASSORTED COLOURS SILK FAN,23.100,24144,23.100,December 2011,69, $1.07 
22097,SWALLOW SQUARE TISSUE BOX,22.911,24144,22.911,December 2011,223, $0.39 
21592,RETROSPOT CIGAR BOX MATCHES,22.757,24144,22.757,December 2011,562, $0.39 
22560,TRADITIONAL MODELLING CLAY,22.630,24144,22.630,December 2011,954, $1.12 
22758,LARGE PURPLE BABUSHKA NOTEBOOK,22.614,24144,22.614,December 2011,537, $0.44 
22422,TOOTHPASTE TUBE PEN,22.572,24144,22.572,December 2011,538, $0.21 
22596,CHRISTMAS STAR WISH LIST CHALKBOARD,22.443,24144,22.443,December 2011,807, $0.59 
23309,SET OF 60 I LOVE LONDON CAKE CASES,22.361,24144,22.361,December 2011,811, $0.47 
22075,6 RIBBONS ELEGANT CHRISTMAS,22.271,24144,22.271,December 2011,535, $0.67 
22059,CERAMIC STRAWBERRY DESIGN MUG,22.206,24144,22.206,December 2011,506, $0.40 
23501,KEY RING BASEBALL BOOT UNION JACK,22.066,24144,22.066,December 2011,485, $1.15 
17003,BROCADE RING PURSE,22.066,24144,22.066,December 2011,297, $0.40 
23436,GIFT BAG LARGE VINTAGE CHRISTMAS,22.066,24144,22.066,December 2011,53, $1.50 
23308,SET OF 60 VINTAGE LEAF CAKE CASES,22.027,24144,22.027,December 2011,438, $0.46 
22489,PACK OF 12 TRADITIONAL CRAYONS,22.027,24144,22.027,December 2011,417, $0.43 
22710,WRAP I LOVE LONDON,21.679,24144,21.679,December 2011,75, $0.42 
22381,TOY TIDY PINK POLKADOT,21.666,24144,21.666,December 2011,67, $2.38 
22755,SMALL PURPLE BABUSHKA NOTEBOOK,21.340,24144,21.340,December 2011,474, $0.24 
22299,PIG KEYRING WITH LIGHT & SOUND,21.267,24144,21.267,December 2011,529, $0.47 
22915,ASSORTED BOTTLE TOP  MAGNETS,21.263,24144,21.263,December 2011,504, $0.24 
21166,COOK WITH WINE METAL SIGN,21.180,24144,21.180,December 2011,893, $2.11 
16161U,WRAP SUKI AND FRIENDS,21.095,24144,21.095,December 2011,50, $0.42 
23177,TREASURE ISLAND BOOK BOX,21.050,24144,21.050,December 2011,524, $2.03 
21977,PACK OF 60 PINK PAISLEY CAKE CASES,21.031,24144,21.031,December 2011,235, $0.61 
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,20.905,24144,20.905,December 2011,480, $3.39 
22464,HANGING METAL HEART LANTERN,20.866,24144,20.866,December 2011,474, $0.88 
22713,CARD I LOVE LONDON,20.847,24144,20.847,December 2011,51, $0.44 
22465,HANGING METAL STAR LANTERN,20.618,24144,20.618,December 2011,447, $0.90 
20969,RED FLORAL FELTCRAFT SHOULDER BAG,20.369,24144,20.369,December 2011,55, $4.69 
22699,ROSES REGENCY TEACUP AND SAUCER,20.367,24144,20.367,December 2011,315, $3.33 
22570,FELTCRAFT CUSHION RABBIT,24.803,24142,20.091,October 2011,658, $3.42 
23302,KNEELING MAT HOUSEWORK  DESIGN,20.025,24144,20.025,December 2011,435, $0.84 
22697,GREEN REGENCY TEACUP AND SAUCER,19.905,24144,19.905,December 2011,317, $3.20 
16156S,WRAP PINK FAIRY CAKES,19.812,24144,19.812,December 2011,100, $0.42 
84212,"ASSORTED FLOWER COLOUR ""LEIS""",19.743,24144,19.743,December 2011,48, $0.65 
22064,PINK DOUGHNUT TRINKET POT,19.629,24144,19.629,December 2011,409, $0.49 
72818,CHRISTMAS DECOUPAGE CANDLE,23.954,24142,19.403,October 2011,576, $0.40 
23379,PACK OF 12 RED APPLE TISSUES,19.370,24144,19.370,December 2011,30, $0.62 
84879,ASSORTED COLOUR BIRD ORNAMENT,19.222,24144,19.222,December 2011,1330, $1.63 
22112,CHOCOLATE HOT WATER BOTTLE,19.220,24144,19.220,December 2011,575, $6.04 
22343,PARTY PIZZA DISH RED RETROSPOT,19.054,24144,19.054,December 2011,375, $0.20 
23374,RED SPOT PAPER GIFT BAG,18.984,24144,18.984,December 2011,314, $0.76 
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,18.826,24144,18.826,December 2011,594, $1.20 
23193,BUFFALO BILL TREASURE BOOK BOX,18.778,24144,18.778,December 2011,408, $2.01 
22757,LARGE RED BABUSHKA NOTEBOOK,18.770,24144,18.770,December 2011,368, $0.47 
82578,KITCHEN METAL SIGN,18.690,24144,18.690,December 2011,300, $0.46 
22217,T-LIGHT HOLDER HANGING LACE,18.655,24144,18.655,December 2011,365, $0.40 
21829,DINOSAUR KEYRINGS ASSORTED,22.959,24142,18.597,October 2011,552, $0.20 
22988,SOLDIERS EGG CUP,18.571,24144,18.571,December 2011,433, $1.20 
22698,PINK REGENCY TEACUP AND SAUCER,18.561,24144,18.561,December 2011,254, $3.40 
15034,PAPER POCKET TRAVELING FAN,18.501,24144,18.501,December 2011,2, $0.83 
21174,POTTERING IN THE SHED METAL SIGN,18.215,24144,18.215,December 2011,321, $2.36 
23343,JUMBO BAG VINTAGE CHRISTMAS,18.144,24144,18.144,December 2011,779, $2.20 
22098,BOUDOIR SQUARE TISSUE BOX,18.108,24144,18.108,December 2011,63, $0.49 
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,18.102,24144,18.102,December 2011,893, $3.02 
21980,PACK OF 12 RED RETROSPOT TISSUES,18.053,24144,18.053,December 2011,90, $0.41 
21809,CHRISTMAS HANGING TREE WITH BELL,17.950,24144,17.950,December 2011,33, $0.39 
21917,SET 12 KIDS  WHITE CHALK STICKS,17.936,24144,17.936,December 2011,63, $0.43 
23382,BOX OF 6 CHRISTMAS CAKE DECORATIONS,17.930,24144,17.930,December 2011,355, $4.13 
22086,PAPER CHAIN KIT 50'S CHRISTMAS,17.900,24144,17.900,December 2011,2089, $3.29 
22076,6 RIBBONS EMPIRE,17.863,24144,17.863,December 2011,353, $0.53 
23570,TRADITIONAL PICK UP STICKS GAME,17.785,24144,17.785,December 2011,409, $1.40 
22188,BLACK HEART CARD HOLDER,17.644,24144,17.644,December 2011,352, $2.49 
85036C,ROSE 1 WICK MORRIS BOXED CANDLE,19.573,24143,17.616,November 2011,386, $1.13 
16259,PIECE OF CAMO STATIONERY SET,19.504,24143,17.553,November 2011,8, $0.08 
22134,LADLE LOVE HEART RED,17.493,24144,17.493,December 2011,313, $0.38 
20724,RED RETROSPOT CHARLOTTE BAG,17.447,24144,17.447,December 2011,847, $1.68 
72816,SET/3 CHRISTMAS DECOUPAGE CANDLES,21.515,24142,17.427,October 2011,465, $0.98 
23535,BICYCLE SAFTEY WALL ART,17.338,24144,17.338,December 2011,287, $6.46 
22544,MINI JIGSAW SPACEBOY,17.318,24144,17.318,December 2011,597, $0.21 
22581,WOOD STOCKING CHRISTMAS SCANDISPOT,17.289,24144,17.289,December 2011,370, $0.46 
22037,ROBOT BIRTHDAY CARD,17.202,24144,17.202,December 2011,301, $0.41 
23525,BUFFALO BILL WALL ART,17.161,24144,17.161,December 2011,22, $3.92 
22791,T-LIGHT GLASS FLUTED ANTIQUE,17.123,24144,17.123,December 2011,475, $1.21 
82484,WOOD BLACK BOARD ANT WHITE FINISH,17.068,24144,17.068,December 2011,390, $6.01 
21908,CHOCOLATE THIS WAY METAL SIGN,17.062,24144,17.062,December 2011,230, $2.16 
84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,17.026,24144,17.026,December 2011,318, $1.16 
72232,FENG SHUI PILLAR CANDLE,16.971,24144,16.971,December 2011,144, $0.19 
22798,ANTIQUE GLASS DRESSING TABLE POT,16.968,24144,16.968,December 2011,197, $3.16 
21411,GINGHAM HEART  DOORSTOP RED,16.926,24144,16.926,December 2011,307, $2.22 
23681,LUNCH BAG RED VINTAGE DOILY,16.829,24144,16.829,December 2011,305, $1.62 
21326,AGED GLASS SILVER T-LIGHT HOLDER,16.754,24144,16.754,December 2011,612, $0.60 
22045,SPACEBOY GIFT WRAP,16.733,24144,16.733,December 2011,150, $0.42 
22185,SLATE TILE NATURAL HANGING,16.700,24144,16.700,December 2011,299, $0.79 
23401,RUSTIC MIRROR WITH LACE HEART,16.694,24144,16.694,December 2011,155, $4.62 
23691,KEEP CALM BIRTHDAY WRAP,16.631,24144,16.631,December 2011,300, $0.42 
22867,HAND WARMER BIRD DESIGN,16.580,24144,16.580,December 2011,747, $2.07 
22742,MAKE YOUR OWN PLAYTIME CARD KIT,16.523,24144,16.523,December 2011,274, $0.82 
23583,LUNCH BAG PAISLEY PARK,16.447,24144,16.447,December 2011,388, $1.78 
21115,ROSE CARAVAN DOORSTOP,16.429,24144,16.429,December 2011,162, $2.25 
23167,SMALL CERAMIC TOP STORAGE JAR,16.358,24144,16.358,December 2011,414, $0.73 
22666,RECIPE BOX PANTRY YELLOW DESIGN,16.270,24144,16.270,December 2011,483, $3.44 
22569,FELTCRAFT CUSHION BUTTERFLY,20.070,24142,16.257,October 2011,454, $3.43 
23268,SET OF 2 CERAMIC CHRISTMAS REINDEER,19.957,24142,16.166,October 2011,140, $1.59 
23090,VINTAGE GLASS T-LIGHT HOLDER,16.109,24144,16.109,December 2011,386, $0.81 
22563,HAPPY STENCIL CRAFT,16.109,24144,16.109,December 2011,343, $1.15 
21824,PAINTED METAL STAR WITH HOLLY BELLS,17.877,24143,16.090,November 2011,362, $0.47 
22393,PAPERWEIGHT VINTAGE COLLAGE,16.034,24144,16.034,December 2011,246, $0.45 
21232,STRAWBERRY CERAMIC TRINKET BOX,16.025,24144,16.025,December 2011,570, $1.39 
22633,HAND WARMER UNION JACK,16.003,24144,16.003,December 2011,444, $2.13 
22099,CARAVAN SQUARE TISSUE BOX,15.868,24144,15.868,December 2011,22, $0.95 
23217,LAUREL HEART ANTIQUE SILVER,15.773,24144,15.773,December 2011,172, $1.14 
23344,JUMBO BAG 50'S CHRISTMAS,15.767,24144,15.767,December 2011,1085, $2.07 
22114,HOT WATER BOTTLE TEA AND SYMPATHY,15.735,24144,15.735,December 2011,608, $6.14 
22111,SCOTTIE DOG HOT WATER BOTTLE,15.700,24144,15.700,December 2011,407, $5.26 
22055,MINI CAKE STAND  HANGING STRAWBERY,15.643,24144,15.643,December 2011,270, $0.43 
23438,RED SPOT GIFT BAG LARGE,15.614,24144,15.614,December 2011,83, $1.28 
21109,"LARGE CAKE TOWEL, CHOCOLATE SPOTS",15.612,24144,15.612,December 2011,244, $2.04 
23521,CAT AND BIRD WALL ART,15.566,24144,15.566,December 2011,6, $5.03 
22743,MAKE YOUR OWN FLOWERPOWER CARD KIT,15.563,24144,15.563,December 2011,249, $0.91 
22574,HEART WOODEN CHRISTMAS DECORATION,15.543,24144,15.543,December 2011,341, $0.99 
22753,SMALL YELLOW BABUSHKA NOTEBOOK,15.495,24144,15.495,December 2011,252, $0.26 
22345,PARTY PIZZA DISH BLUE POLKADOT,15.495,24144,15.495,December 2011,243, $0.24 
22645,CERAMIC HEART FAIRY CAKE MONEY BANK,15.485,24144,15.485,December 2011,303, $0.71 
20718,RED RETROSPOT SHOPPER BAG,15.473,24144,15.473,December 2011,323, $1.24 
23569,TRADTIONAL ALPHABET STAMP SET,15.456,24144,15.456,December 2011,259, $4.68 
21285,RETROSPOT CANDLE  MEDIUM,15.453,24144,15.453,December 2011,229, $0.39 
22744,MAKE YOUR OWN MONSOON CARD KIT,15.418,24144,15.418,December 2011,254, $0.84 
21107,CREAM SLICE FLANNEL PINK SPOT,15.392,24144,15.392,December 2011,241, $2.56 
84029E,RED WOOLLY HOTTIE WHITE HEART.,15.323,24144,15.323,December 2011,402, $4.47 
22049,WRAP CHRISTMAS SCREEN PRINT,18.908,24142,15.315,October 2011,225, $0.19 
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,15.297,24144,15.297,December 2011,129, $3.85 
20719,WOODLAND CHARLOTTE BAG,15.271,24144,15.271,December 2011,519, $1.66 
23695,DOILY THANK YOU CARD,15.268,24144,15.268,December 2011,246, $0.41 
47591D,PINK FAIRY CAKE CHILDRENS APRON,15.248,24144,15.248,December 2011,94, $1.88 
47591d,PINK FAIRY CAKE CHILDRENS APRON,15.248,24144,15.248,December 2011,94, $1.88 
21242,RED RETROSPOT PLATE,15.212,24144,15.212,December 2011,138, $1.57 
23080,RED METAL BOX TOP SECRET,15.209,24144,15.209,December 2011,283, $8.41 
21912,VINTAGE SNAKES & LADDERS,15.202,24144,15.202,December 2011,292, $3.69 
35964,FOLKART CLIP ON STARS,15.189,24144,15.189,December 2011,85, $0.58 
21586,KINGS CHOICE GIANT TUBE MATCHES,16.841,24143,15.157,November 2011,288, $2.10 
21914,BLUE HARMONICA IN BOX,15.139,24144,15.139,December 2011,478, $1.37 
23522,DOG AND BALL WALL ART,15.120,24144,15.120,December 2011,14, $1.57 
22346,PARTY PIZZA DISH GREEN POLKADOT,15.053,24144,15.053,December 2011,234, $0.19 
23046,PAPER LANTERN 9 POINT DELUXE STAR,14.997,24144,14.997,December 2011,3, $6.65 
23165,LARGE CERAMIC TOP STORAGE JAR,14.977,24144,14.977,December 2011,208, $1.61 
16219,HOUSE SHAPE PENCIL SHARPENER,14.916,24144,14.916,December 2011,22, $0.31 
23538,WALL ART VINTAGE HEART,14.876,24144,14.876,December 2011,3, $6.90 
22339,CHRISTMAS TREE PAINTED ZINC,16.456,24143,14.810,November 2011,329, $0.23 
84536A,ENGLISH ROSE NOTEBOOK A7 SIZE,14.789,24144,14.789,December 2011,109, $0.47 
84536a,ENGLISH ROSE NOTEBOOK A7 SIZE,14.789,24144,14.789,December 2011,109, $0.47 
23562,SET OF 6 RIBBONS PERFECTLY PRETTY,14.765,24144,14.765,December 2011,219, $2.89 
22792,FLUTED ANTIQUE CANDLE HOLDER,14.761,24144,14.761,December 2011,292, $0.96 
79321,CHILLI LIGHTS,14.711,24144,14.711,December 2011,462, $5.71 
22344,PARTY PIZZA DISH PINK POLKADOT,14.697,24144,14.697,December 2011,228, $0.19 
22712,CARD DOLLY GIRL,14.694,24144,14.694,December 2011,279, $0.38 
84819,DANISH ROSE ROUND SEWING BOX,14.646,24144,14.646,December 2011,218, $0.89 
84949,SILVER HANGING T-LIGHT HOLDER,14.636,24144,14.636,December 2011,371, $1.52 
22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,14.625,24144,14.625,December 2011,1230, $0.47 
22722,SET OF 6 SPICE TINS PANTRY DESIGN,14.533,24144,14.533,December 2011,101, $4.98 
23480,MINI LIGHTS WOODLAND MUSHROOMS,14.484,24144,14.484,December 2011,239, $4.08 
22061,LARGE CAKE STAND  HANGING STRAWBERY,14.474,24144,14.474,December 2011,220, $2.95 
23598,PAPER BUNTING VINTAGE PARTY,14.464,24144,14.464,December 2011,211, $2.65 
21479,WHITE SKULL HOT WATER BOTTLE,14.446,24144,14.446,December 2011,323, $6.40 
22029,SPACEBOY BIRTHDAY CARD,14.433,24144,14.433,December 2011,364, $0.40 
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,14.412,24144,14.412,December 2011,161, $0.21 
16008,SMALL FOLDING SCISSOR(POINTED EDGE),14.349,24144,14.349,December 2011,336, $0.12 
22969,HOMEMADE JAM SCENTED CANDLES,14.346,24144,14.346,December 2011,230, $1.75 
22423,REGENCY CAKESTAND 3 TIER,14.237,24144,14.237,December 2011,450, $13.35 
62018,SOMBRERO,14.237,24144,14.237,December 2011,210, $1.28 
22568,FELTCRAFT CUSHION OWL,14.223,24144,14.223,December 2011,24, $3.75 
84817,DANISH ROSE DECORATIVE PLATE,14.221,24144,14.221,December 2011,211, $0.40 
22540,MINI JIGSAW CIRCUS PARADE,14.213,24144,14.213,December 2011,251, $0.20 
22072,RED RETROSPOT TEA CUP AND SAUCER,14.160,24144,14.160,December 2011,206, $1.44 
22759,SET OF 3 NOTEBOOKS IN PARCEL,15.726,24143,14.153,November 2011,461, $1.67 
22741,FUNKY DIVA PEN,14.146,24144,14.146,December 2011,315, $0.92 
35954,SMALL FOLKART STAR CHRISTMAS DEC,15.697,24143,14.127,November 2011,250, $0.19 
22151,PLACE SETTING WHITE HEART,14.100,24144,14.100,December 2011,335, $0.42 
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,14.057,24144,14.057,December 2011,202, $0.84 
21531,RED RETROSPOT SUGAR JAM BOWL,14.057,24144,14.057,December 2011,10, $2.55 
21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",14.053,24144,14.053,December 2011,201, $1.26 
22970,LONDON BUS COFFEE MUG,14.014,24144,14.014,December 2011,86, $2.63 
22165,"DIAMANTE HEART SHAPED WALL MIRROR, ",13.957,24144,13.957,December 2011,197, $4.42 
22093,MOTORING TISSUE BOX,13.943,24144,13.943,December 2011,57, $0.39 
23523,TREASURE AHOY WALL ART,13.943,24144,13.943,December 2011,14, $3.75 
21930,JUMBO STORAGE BAG SKULLS,13.928,24144,13.928,December 2011,298, $2.07 
22695,WICKER WREATH SMALL,13.918,24144,13.918,December 2011,210, $0.81 
21731,RED TOADSTOOL LED NIGHT LIGHT,13.838,24144,13.838,December 2011,485, $2.03 
22153,ANGEL DECORATION STARS ON DRESS,13.817,24144,13.817,December 2011,294, $0.46 
22442,GROW YOUR OWN FLOWERS SET OF 3,13.813,24144,13.813,December 2011,193, $2.07 
21535,RED RETROSPOT SMALL MILK JUG,13.788,24144,13.788,December 2011,28, $2.55 
22230,JIGSAW TREE WITH WATERING CAN,13.780,24144,13.780,December 2011,6, $1.18 
23191,BUNDLE OF 3 RETRO NOTE BOOKS,13.773,24144,13.773,December 2011,83, $1.81 
20727,LUNCH BAG  BLACK SKULL.,13.730,24144,13.730,December 2011,318, $2.17 
72799E,IVORY PILLAR CANDLE SILVER FLOCK,13.704,24144,13.704,December 2011,208, $0.87 
23297,SET 40 HEART SHAPE PETIT FOUR CASES,15.205,24143,13.685,November 2011,4, $1.65 
22597,CHRISTMAS MUSICAL ZINC HEART,13.667,24144,13.667,December 2011,290, $0.42 
22991,GIRAFFE WOODEN RULER,13.590,24144,13.590,December 2011,81, $2.14 
22216,T-LIGHT HOLDER WHITE LACE,13.583,24144,13.583,December 2011,190, $0.45 
84992,72 SWEETHEART FAIRY CAKE CASES,13.509,24144,13.509,December 2011,209, $0.59 
21916,SET 12 RETRO WHITE CHALK STICKS,13.509,24144,13.509,December 2011,94, $0.57 
22091,EMPIRE TISSUE BOX,13.457,24144,13.457,December 2011,11, $1.14 
47593B,SCOTTIE DOGS BABY BIB,13.454,24144,13.454,December 2011,213, $0.43 
21284,RETROSPOT CANDLE  SMALL,13.450,24144,13.450,December 2011,172, $0.46 
72817,SET OF 2 CHRISTMAS DECOUPAGE CANDLE,14.940,24143,13.446,November 2011,262, $0.89 
23536,VILLAGE SHOW WALL ART,13.372,24144,13.372,December 2011,29, $6.62 
22907,PACK OF 20 NAPKINS PANTRY DESIGN,13.338,24144,13.338,December 2011,180, $0.82 
23172,REGENCY TEA PLATE PINK,13.338,24144,13.338,December 2011,178, $1.91 
22096,PINK PAISLEY SQUARE TISSUE BOX,13.334,24144,13.334,December 2011,224, $0.39 
22547,MINI JIGSAW DINOSAUR,13.319,24144,13.319,December 2011,181, $0.24 
22814,CARD PARTY GAMES,13.274,24144,13.274,December 2011,223, $0.38 
21422,PORCELAIN ROSE SMALL,14.724,24143,13.252,November 2011,4, $1.63 
22558,CLOTHES PEGS RETROSPOT PACK 24,13.248,24144,13.248,December 2011,290, $1.61 
23292,SPACEBOY CHILDRENS CUP,13.225,24144,13.225,December 2011,143, $1.23 
23373,VINTAGE CHRISTMAS PAPER GIFT BAG,13.187,24144,13.187,December 2011,58, $1.16 
85204,HANGING WOOD AND FELT FLOWER,13.161,24144,13.161,December 2011,8, $0.12 
22074,6 RIBBONS SHIMMERING PINKS,13.149,24144,13.149,December 2011,186, $0.51 
21314,SMALL GLASS HEART TRINKET POT,13.077,24144,13.077,December 2011,226, $2.19 
22721,SET OF 3 CAKE TINS SKETCHBOOK,13.065,24144,13.065,December 2011,172, $2.45 
22756,LARGE YELLOW BABUSHKA NOTEBOOK,13.046,24144,13.046,December 2011,175, $0.48 
23280,FOLDING BUTTERFLY MIRROR HOT PINK,13.012,24144,13.012,December 2011,195, $0.82 
22030,SWALLOWS GREETING CARD,13.004,24144,13.004,December 2011,77, $0.57 
21588,RETROSPOT GIANT TUBE MATCHES,12.954,24144,12.954,December 2011,227, $2.18 
23547,WRAP FLOWER SHOP,12.942,24144,12.942,December 2011,125, $0.42 
22057,CERAMIC PLATE STRAWBERRY DESIGN,12.888,24144,12.888,December 2011,176, $0.39 
21286,RETROSPOT CANDLE  LARGE,12.862,24144,12.862,December 2011,158, $0.59 
22545,MINI JIGSAW BUNNIES,12.837,24144,12.837,December 2011,168, $0.21 
17091J,VANILLA INCENSE IN TIN,12.814,24144,12.814,December 2011,216, $0.38 
23539,WALL ART LOVES' SECRET,12.779,24144,12.779,December 2011,7, $6.88 
23499,SET 12 VINTAGE DOILY CHALK,12.763,24144,12.763,December 2011,218, $0.43 
23390,DOLLY GIRL MINI BACKPACK,12.751,24144,12.751,December 2011,85, $4.06 
21844,RED RETROSPOT MUG,12.744,24144,12.744,December 2011,2, $2.95 
21833,CAMOUFLAGE LED TORCH,12.720,24144,12.720,December 2011,84, $1.90 
23566,EGG CUP MILKMAID HEIDI,12.685,24144,12.685,December 2011,178, $1.19 
72802C,VANILLA SCENT CANDLE JEWELLED BOX,13.982,24143,12.584,November 2011,192, $1.20 
23170,REGENCY TEA PLATE ROSES,12.546,24144,12.546,December 2011,130, $1.98 
23301,GARDENERS KNEELING PAD KEEP CALM,12.530,24144,12.530,December 2011,700, $2.36 
23576,SNACK TRAY RED VINTAGE DOILY,12.530,24144,12.530,December 2011,158, $2.04 
21098,CHRISTMAS TOILET ROLL,12.522,24144,12.522,December 2011,189, $1.54 
23486,ANTIQUE HEART SHELF UNIT,12.494,24144,12.494,December 2011,160, $13.76 
22752,SET 7 BABUSHKA NESTING BOXES,12.486,24144,12.486,December 2011,189, $4.62 
23533,WALL ART GARDEN HAVEN,12.466,24144,12.466,December 2011,20, $2.55 
22079,RIBBON REEL HEARTS DESIGN,12.442,24144,12.442,December 2011,70, $1.86 
22811,SET OF 6 T-LIGHTS CACTI,12.406,24144,12.406,December 2011,160, $2.18 
21154,RED RETROSPOT OVEN GLOVE,12.402,24144,12.402,December 2011,126, $1.93 
21014,SWISS CHALET TREE DECORATION,13.766,24143,12.389,November 2011,234, $0.34 
22385,JUMBO BAG SPACEBOY DESIGN,12.373,24144,12.373,December 2011,352, $1.96 
22686,FRENCH BLUE METAL DOOR SIGN No,12.373,24144,12.373,December 2011,123, $1.07 
22924,FRIDGE MAGNETS LA VIE EN ROSE,12.223,24144,12.223,December 2011,174, $0.86 
23575,SNACK TRAY PAISLEY PARK,12.207,24144,12.207,December 2011,150, $2.06 
23526,DOG LICENCE WALL ART,12.153,24144,12.153,December 2011,175, $5.37 
22389,PAPERWEIGHT SAVE THE PLANET,12.120,24144,12.120,December 2011,48, $0.77 
